mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_activation1,param_activation2,param_batch_size,param_epochs,param_neurons,param_optimizer,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
1.8600262800852458,0.038263161977132164,0.9248901318417898,0.999800279608548,relu,sigmoid,16,16,16,Adam,"{'activation1': 'relu', 'activation2': 'sigmoid', 'batch_size': 16, 'epochs': 16, 'neurons': 16, 'optimizer': 'Adam'}",67,0.874251497005988,1.0,0.9580335731414868,1.0,0.9424460431654677,0.9994008388256441,0.11059500423481454,0.006159588191908621,0.036388899476175456,0.0002824472862738243
2.020720958709717,0.06393591562906902,0.931282461046744,1.0,relu,sigmoid,16,16,32,Adam,"{'activation1': 'relu', 'activation2': 'sigmoid', 'batch_size': 16, 'epochs': 16, 'neurons': 32, 'optimizer': 'Adam'}",24,0.8874251497005988,1.0,0.960431654676259,1.0,0.9460431654676259,1.0,0.0582757871351816,0.006741058644389478,0.03158126058132724,0.0
2.4047012329101562,0.0924844741821289,0.9328805433479824,1.0,relu,sigmoid,16,16,64,Adam,"{'activation1': 'relu', 'activation2': 'sigmoid', 'batch_size': 16, 'epochs': 16, 'neurons': 64, 'optimizer': 'Adam'}",15,0.8922155688622755,1.0,0.9664268585131894,1.0,0.9400479616306955,1.0,0.03068039203482067,0.006799232960572891,0.03072034339948972,0.0
4.109163920084636,0.12777217229207358,0.931282461046744,1.0,relu,sigmoid,16,16,128,Adam,"{'activation1': 'relu', 'activation2': 'sigmoid', 'batch_size': 16, 'epochs': 16, 'neurons': 128, 'optimizer': 'Adam'}",24,0.8838323353293414,1.0,0.9616306954436451,1.0,0.9484412470023981,1.0,0.10671720452441505,0.007684878739431395,0.03400130956676414,0.0
8.984694004058838,0.15359107653299967,0.9348781462245306,1.0,relu,sigmoid,16,16,256,Adam,"{'activation1': 'relu', 'activation2': 'sigmoid', 'batch_size': 16, 'epochs': 16, 'neurons': 256, 'optimizer': 'Adam'}",4,0.8862275449101796,1.0,0.9652278177458034,1.0,0.9532374100719424,1.0,0.23326068959529045,0.008516000477175406,0.034767967590793564,0.0
3.5902163982391357,0.17552407582600912,0.9304834198961246,0.9996005592170961,relu,sigmoid,16,32,16,Adam,"{'activation1': 'relu', 'activation2': 'sigmoid', 'batch_size': 16, 'epochs': 32, 'neurons': 16, 'optimizer': 'Adam'}",33,0.8826347305389222,1.0,0.9628297362110312,0.9988016776512882,0.9460431654676259,1.0,0.11211379467179244,0.01275143295405148,0.03454080484833828,0.0005648945725476486
4.0735578536987305,0.21003961563110352,0.9276867758689572,1.0,relu,sigmoid,16,32,32,Adam,"{'activation1': 'relu', 'activation2': 'sigmoid', 'batch_size': 16, 'epochs': 32, 'neurons': 32, 'optimizer': 'Adam'}",51,0.8874251497005988,1.0,0.9592326139088729,1.0,0.9364508393285371,1.0,0.06212393674416953,0.010193701963208096,0.029965614886961117,0.0
5.326202233632405,0.2472702662150065,0.9292848581701958,1.0,relu,sigmoid,16,32,64,Adam,"{'activation1': 'relu', 'activation2': 'sigmoid', 'batch_size': 16, 'epochs': 32, 'neurons': 64, 'optimizer': 'Adam'}",42,0.8838323353293414,1.0,0.960431654676259,1.0,0.9436450839328537,1.0,0.3832919440388182,0.012520816189997204,0.032880853811151675,0.0
8.622200965881348,0.28437598546346027,0.9336795844986017,1.0,relu,sigmoid,16,32,128,Adam,"{'activation1': 'relu', 'activation2': 'sigmoid', 'batch_size': 16, 'epochs': 32, 'neurons': 128, 'optimizer': 'Adam'}",10,0.8934131736526946,1.0,0.9616306954436451,1.0,0.9460431654676259,1.0,0.09203323867163159,0.009124899666768037,0.029191488091614957,0.0
16.98093064626058,0.2995491822560628,0.9316819816220535,1.0,relu,sigmoid,16,32,256,Adam,"{'activation1': 'relu', 'activation2': 'sigmoid', 'batch_size': 16, 'epochs': 32, 'neurons': 256, 'optimizer': 'Adam'}",23,0.8862275449101796,1.0,0.9616306954436451,1.0,0.947242206235012,1.0,0.6382109433087071,0.0066196688035413875,0.03269224014759048,0.0
7.92758313814799,0.3319977919260661,0.9272872552936476,0.999800279608548,relu,sigmoid,16,64,16,Adam,"{'activation1': 'relu', 'activation2': 'sigmoid', 'batch_size': 16, 'epochs': 64, 'neurons': 16, 'optimizer': 'Adam'}",52,0.8838323353293414,1.0,0.9556354916067147,0.9994008388256441,0.9424460431654677,1.0,0.09160659500517651,0.0033805215623962256,0.031213444780745562,0.0002824472862738243
8.980163971583048,0.35431090990702313,0.930083899320815,1.0,relu,sigmoid,16,64,32,Adam,"{'activation1': 'relu', 'activation2': 'sigmoid', 'batch_size': 16, 'epochs': 64, 'neurons': 32, 'optimizer': 'Adam'}",37,0.8850299401197604,1.0,0.9652278177458034,1.0,0.9400479616306955,1.0,0.2432811772234519,0.0046982216003986655,0.033492912730147005,0.0
10.589081605275473,0.3858635425567627,0.9368757491010787,1.0,relu,sigmoid,16,64,64,Adam,"{'activation1': 'relu', 'activation2': 'sigmoid', 'batch_size': 16, 'epochs': 64, 'neurons': 64, 'optimizer': 'Adam'}",1,0.8946107784431138,1.0,0.9640287769784173,1.0,0.9520383693045563,1.0,0.08915315971275295,0.011310393837931783,0.030301598722089287,0.0
